date_month,RR,NBJRR1,NBJRR5,NBJRR10,NBJBROU
1950-01-01,2.45,6.0,2.0,0.0,0.0
1950-02-01,5.970000000000001,13.0,3.0,0.0,0.0
1950-03-01,2.09,5.0,1.0,1.0,0.0
1950-04-01,5.96,8.0,3.0,2.0,0.0
1950-05-01,4.05,9.0,3.0,1.0,0.0
1950-06-01,2.44,9.0,1.0,0.0,0.0
1950-07-01,5.7,11.0,3.0,2.0,0.0
1950-08-01,5.65,13.0,3.0,2.0,0.0
1950-09-01,8.8,11.0,6.0,3.0,0.0
1950-10-01,1.2,6.0,0.0,0.0,0.0
1950-11-01,5.83,13.0,3.0,2.0,0.0
1950-12-01,7.19,11.0,6.0,2.0,0.0
1951-01-01,3.46,11.0,1.0,0.0,0.0
1951-02-01,5.529999999999999,15.0,4.0,0.0,0.0
1951-03-01,4.9,12.0,3.0,0.0,0.0
1951-04-01,4.029999999999999,12.0,3.0,0.0,0.0
1951-05-01,10.440000000000001,15.0,9.0,3.0,0.0
1951-06-01,8.48,12.0,6.0,3.0,0.0
1951-07-01,5.470000000000001,5.0,3.0,2.0,0.0
1951-08-01,10.01,12.0,6.0,2.0,0.0
1951-09-01,3.8600000000000003,7.0,4.0,1.0,0.0
1951-10-01,2.12,5.0,1.0,1.0,0.0
1951-11-01,5.5,13.0,4.0,1.0,0.0
1951-12-01,3.31,9.0,2.0,0.0,0.0
1952-01-01,4.96,12.0,5.0,0.0,0.0
1952-02-01,4.36,7.0,5.0,1.0,0.0
1952-03-01,7.390000000000001,10.0,6.0,2.0,0.0
1952-04-01,0.8,4.0,0.0,0.0,0.0
1952-05-01,2.59,6.0,2.0,0.0,0.0
1952-06-01,4.4399999999999995,6.0,3.0,1.0,0.0
1952-07-01,0.73,2.0,1.0,0.0,0.0
1952-08-01,7.74,13.0,4.0,2.0,0.0
1952-09-01,10.55,16.0,9.0,3.0,0.0
1952-10-01,6.93,12.0,5.0,2.0,0.0
1952-11-01,8.53,11.0,8.0,3.0,0.0
1952-12-01,7.040000000000001,12.0,3.0,2.0,0.0
1953-01-01,1.54,4.0,1.0,0.0,0.0
1953-02-01,2.2,5.0,1.0,0.0,0.0
1953-03-01,0.01,0.0,0.0,0.0,0.0
1953-04-01,4.62,10.0,3.0,1.0,0.0
1953-05-01,4.16,5.0,2.0,1.0,0.0
1953-06-01,9.25,9.0,3.0,2.0,0.0
1953-07-01,3.9299999999999997,8.0,3.0,0.0,0.0
1953-08-01,3.34,4.0,3.0,1.0,0.0
1953-09-01,5.36,8.0,2.0,1.0,0.0
1953-10-01,1.98,4.0,1.0,1.0,0.0
1953-11-01,1.3599999999999999,4.0,1.0,0.0,0.0
1953-12-01,0.8699999999999999,3.0,1.0,0.0,0.0
1954-01-01,2.69,10.0,1.0,0.0,0.0
1954-02-01,3.5799999999999996,12.0,3.0,0.0,0.0
1954-03-01,3.7,8.0,3.0,0.0,0.0
1954-04-01,0.05,0.0,0.0,0.0,0.0
1954-05-01,3.5100000000000002,8.0,4.0,0.0,0.0
1954-06-01,5.16,9.0,4.0,1.0,0.0
1954-07-01,2.31,6.0,1.0,0.0,0.0
1954-08-01,4.09,8.0,3.0,3.0,0.0
1954-09-01,9.34,13.0,7.0,5.0,0.0
1954-10-01,2.65,5.0,2.0,0.0,0.0
1954-11-01,2.59,8.0,2.0,0.0,0.0
1954-12-01,3.54,6.0,3.0,1.0,0.0
1955-01-01,8.559999999999999,12.0,7.0,3.0,0.0
1955-02-01,6.0600000000000005,14.0,4.0,1.0,0.0
1955-03-01,2.45,5.0,2.0,0.0,0.0
1955-04-01,0.49000000000000005,2.0,0.0,0.0,0.0
1955-05-01,4.35,7.0,3.0,1.0,0.0
1955-06-01,5.0200000000000005,7.0,3.0,2.0,0.0
1955-07-01,13.99,5.0,3.0,3.0,0.0
1955-08-01,2.19,6.0,2.0,0.0,0.0
1955-09-01,3.44,7.0,1.0,1.0,0.0
1955-10-01,4.1899999999999995,5.0,3.0,2.0,0.0
1955-11-01,2.09,3.0,2.0,1.0,0.0
1955-12-01,4.43,9.0,2.0,1.0,0.0
1956-01-01,5.65,12.0,4.0,2.0,0.0
1956-02-01,0.78,2.0,0.0,0.0,0.0
1956-03-01,0.64,3.0,0.0,0.0,0.0
1956-04-01,6.640000000000001,9.0,3.0,3.0,0.0
1956-05-01,2.63,5.0,3.0,0.0,0.0
1956-06-01,3.8899999999999997,8.0,4.0,0.0,0.0
1956-07-01,5.68,8.0,4.0,1.0,0.0
1956-08-01,7.5,13.0,8.0,1.0,0.0
1956-09-01,3.5799999999999996,8.0,2.0,0.0,0.0
1956-10-01,4.45,8.0,2.0,1.0,0.0
1956-11-01,4.2700000000000005,7.0,3.0,0.0,0.0
1957-01-01,2.4699999999999998,9.0,0.0,0.0,0.0
1957-02-01,10.58,14.0,11.0,4.0,0.0
1957-03-01,1.8199999999999998,8.0,0.0,0.0,0.0
1957-04-01,0.36,2.0,0.0,0.0,0.0
1957-05-01,3.75,8.0,2.0,1.0,0.0
1957-06-01,5.3100000000000005,7.0,5.0,2.0,0.0
1957-07-01,9.95,10.0,5.0,1.0,0.0
1957-08-01,2.96,6.0,2.0,0.0,0.0
1957-09-01,9.73,16.0,8.0,4.0,0.0
1957-10-01,2.77,7.0,3.0,0.0,0.0
1957-11-01,2.07,5.0,1.0,0.0,0.0
1957-12-01,3.8,10.0,2.0,1.0,0.0
1958-01-01,8.08,13.0,5.0,1.0,0.0
1958-02-01,8.78,16.0,7.0,2.0,0.0
1958-03-01,2.2,9.0,0.0,0.0,0.0
1958-04-01,5.85,7.0,4.0,2.0,0.0
1958-05-01,7.840000000000001,14.0,6.0,2.0,0.0
1958-06-01,10.1,14.0,7.0,3.0,0.0
1958-07-01,7.909999999999999,8.0,5.0,1.0,0.0
1958-08-01,5.84,12.0,6.0,0.0,0.0
1958-09-01,3.19,6.0,2.0,1.0,0.0
1958-10-01,4.24,8.0,5.0,0.0,0.0
1958-11-01,4.14,8.0,2.0,1.0,0.0
1958-12-01,4.720000000000001,11.0,5.0,0.0,0.0
1959-01-01,8.35,14.0,7.0,3.0,0.0
1959-02-01,0.0,0.0,0.0,0.0,0.0
1959-03-01,5.0,12.0,3.0,1.0,0.0
1959-04-01,6.36,14.0,4.0,1.0,0.0
1959-05-01,1.33,2.0,1.0,0.0,0.0
1959-06-01,2.43,5.0,2.0,1.0,0.0
1959-07-01,0.44000000000000006,1.0,0.0,0.0,0.0
1959-08-01,1.27,4.0,1.0,0.0,0.0
1959-09-01,0.08,0.0,0.0,0.0,0.0
